1;2;/events/grarrg.gif;Grarrg stomps in and says 'You look like a you could help us in our army! I have upgraded your rank!';;;Increases your Tyrannian Army points, which are viewable on your user lookup if you have them.
2;2;/events/omelette.gif;You find a piece of tasty # lying on the floor!;Omelette;;
3;2;/events/fungusball.gif;A fungus ball is sitting on this page... and it #. You get confused and drop # Neopoints.;EXPLODES!,+;;
4;2;/events/jarbjarb.gif;JarbJarb says 'Ugga ugg <a href="https://www.neopets.com/games/tyranuevavu.phtml">Tyranu Evavu</a>';;;
5;2;/events/uggsul.gif;Uggsul says 'Ugga ugg <a href="https://www.neopets.com/games/tyranuevavu.phtml">Tyranu Evavu</a>';;;
6;2;/events/grarrg.gif;Grarrg the Battle Master stomps past you, muttering something about war;;;
7;2;/events/plesio.gif;Plesio says 'Fancy spinning the <a href="https://www.neopets.com/prehistoric/mediocrity.phtml">Wheel of Mediocrity</a>?';;;
8;2;/events/crazed_fans.gif;A group of excited fans rush past you shouting '#' are playing tonight!!!;+;;
9;1;/items/ice_negg.gif;You pick an Ice Negg from a nearby bush;;;
10;1;/events/ice_treasure.gif;You have stumbled upon the great Ice Treasure of # Neopoints!!!;+;;
11;1;/items/xmaspaintbrush.gif;Wow! You have found a Christmas Paint Brush!;;;
12;1;;Somebody from high up throws a # at you! You pick it up!;+;;
13;4;;<i>You win a #!</i>;+;;
14;4;/events/lotteryman.gif;<i>You win a lottery ticket!!!</i>;;;
15;4;/events/evil_pantdevil.gif;<i>The pant devil attacks!!! He steals '#'</i>;+;;
16;4;/events/evil_pantdevil.gif;<i>Oops! You don't have any items. The Pant Devil runs away.</i>;;;
22;1;/items/negg_super.gif;You pick an Super Ice Negg from a nearby bush!;;;
23;1;/events/ice_devil.gif;The ice devil attacks!!! He steals '#';+;;
24;1;/events/snow_ball.gif;^# - (\w+) gets hit by a snowball from above and takes # damage!$;-,SNOWBALL ATTACK!,+;;
25;1;/events/cold_wind.gif;A gust of icy cold wind blows past you, chilling you to the bone.;;;
26;1;/events/snow_faerie.gif;The Snow Faerie says '#';Hey%2C did you know its Donna's Birthday on the 10th December! :);;
27;1;/events/snow_faerie.gif;The Snow Faerie says '#';I wonder whats at the top of the mountain...;;
28;1;/events/snow_faerie.gif;The Snow Faerie says '#';I must get some more Ice Neggs for tea!;;
29;1;/events/snow_faerie.gif;The Snow Faerie says '#';They say an evil old man lives in a castle at the top of the mountain... I dont believe them!;;
30;1;/events/snow_faerie.gif;The Snow Faerie says '#';Brrr... im glad I have this warm coat on!;;
31;1;/events/snow_faerie.gif;The Snow Faerie says '#';I wish I could play <a href="https://www.neopets.com/games/snowwars.phtml">Snow Wars</a> as well as you :(;;
32;1;/events/snow_faerie.gif;The Snow Faerie says '#';Have you looked at the Advent Calendar lately?;;
33;1;/events/snow_faerie.gif;The Snow Faerie says '#';I hope your pets wrap up warm;;
34;1;/events/snow_faerie.gif;The Snow Faerie says '#';It's toasty warm in this coat!;;
35;1;/events/snow_faerie.gif;The Snow Faerie says '#';All my sisters hate the Ice World%2C they say its too cold. I love it here.;;
